Helység megnevezése;Megye megnevezés
Gelse;Zala
Gelsesziget;Zala
Gemzse;Szabolcs-Szatmár-Bereg
Gencsapáti;Vas
Gérce;Vas
Gerde;Baranya
Gerendás;Békés
Gerényes;Baranya
Geresdlak;Baranya
Gerjen;Tolna
Gersekarát;Vas
Geszt;Békés
Gesztely;Borsod-Abaúj-Zemplén
Geszteréd;Szabolcs-Szatmár-Bereg
Gétye;Zala
Gibárt;Borsod-Abaúj-Zemplén
Gic;Veszprém
Gige;Somogy
Gilvánfa;Baranya
Girincs;Borsod-Abaúj-Zemplén
Gógánfa;Veszprém
Golop;Borsod-Abaúj-Zemplén
Gomba;Pest
